dn,objectClass,uid,homeDirectory,group,givenName,sn,displayName,cn,mail,manager,telephoneNumber,title
cn=Chris McGurk,inetOrgPerson;person;organizationalPerson;posixAccount;top,chrism,/home/chrism,1099 Contractor,Chris,McGurk,Chris McGurk,Chris McGurk,chrism@contoso.com,cn=Brian Groth,(206) 555-1833,Project Manager
cn=Dan Bacon,inetOrgPerson;person;organizationalPerson;posixAccount;top,danb,/home/danb,1099 Contractor,Dan,Bacon,Dan Bacon,Dan Bacon,danb@contoso.com,cn=Brian Groth,(206) 555-2464,Project Manager
cn=Daniel Durrer,inetOrgPerson;person;organizationalPerson;posixAccount;top,danield,/home/danield,1099 Contractor,Daniel,Durrer,Daniel Durrer,Daniel Durrer,danield@contoso.com,cn=Brian Groth,(206) 555-8793,Project Manager
cn=James Wittrell,inetOrgPerson;person;organizationalPerson;posixAccount;top,jamesw,/home/jamesw,Accounting,James,Wittrell,James Wittrell,James Wittrell,jamesw@contoso.com,cn=Karim Manar,(415) 555-2597,Accountant
cn=Scott MacDonald,inetOrgPerson;person;organizationalPerson;posixAccount;top,scottm,/home/scottm,1099 Contractor,Scott,MacDonald,Scott MacDonald,Scott MacDonald,scottm@contoso.com,cn=Jenni Merrifield,(206) 555-8452,Strategy Consultant
cn=Renee Lo,inetOrgPerson;person;organizationalPerson;posixAccount;top,reneel,/home/reneel,Strategy Consulting,Renee,Lo,Renee Lo,Renee Lo,reneel@contoso.com,cn=Aaron Painter,(206) 555-6864,Strategy Consultant
cn=Cari Drummelle,inetOrgPerson;person;organizationalPerson;posixAccount;top,carid,/home/carid,Content Management Consulting,Cari,Drummelle,Cari Drummelle,Cari Drummelle,carid@contoso.com,cn=Stan Orme,(212) 555-3889,Content Management Consultant
cn=Alfons Parovszky,inetOrgPerson;person;organizationalPerson;posixAccount;top,alfonsp,/home/alfonsp,Content Management Consulting,Alfons,Parovszky,Alfons Parovszky,Alfons Parovszky,alfonsp@contoso.com,cn=Stan Orme,(206) 555-1659,Content Management Consultant
cn=Matt Hink,inetOrgPerson;person;organizationalPerson;posixAccount;top,matth,/home/matth,Content Management Consulting,Matt,Hink,Matt Hink,Matt Hink,matth@contoso.com,cn=Stan Orme,(206) 555-4157,Content Management Consultant
cn=Lorraine Nay,inetOrgPerson;person;organizationalPerson;posixAccount;top,lorrain,/home/lorrain,CRM Strategy,Lorraine,Nay,Lorraine Nay,Lorraine Nay,lorrain@contoso.com,cn=Syed Abbas,(20) 5555-8569,CRM Consultant
cn=Iben Thorell,inetOrgPerson;person;organizationalPerson;posixAccount;top,ibent,/home/ibent,Strategy Consulting,Iben,Thorell,Iben Thorell,Iben Thorell,ibent@contoso.com,cn=Brad Sutton,(206) 555-7167,Strategy Consultant
cn=Magnus Hedlund,inetOrgPerson;person;organizationalPerson;posixAccount;top,magnush,/home/magnush,Content Management Consulting,Magnus,Hedlund,Magnus Hedlund,Magnus Hedlund,magnush@contoso.com,cn=Stan Orme,(206) 555-7213,Business Process Manager
cn=Erik Andersen,inetOrgPerson;person;organizationalPerson;posixAccount;top,erica,/home/erica,Content Management Consulting,Erik,Andersen,Erik Andersen,Erik Andersen,erica@contoso.com,cn=Stan Orme,(206) 555-6448,Content Management Consultant
cn=Corinna Bolender,inetOrgPerson;person;organizationalPerson;posixAccount;top,corinnb,/home/corinnb,Engineering Operations,Corinna,Bolender,Corinna Bolender,Corinna Bolender,corinnb@contoso.com,cn=Carol Troup,(206) 555-9821,Engineer
cn=Trey Pratt,inetOrgPerson;person;organizationalPerson;posixAccount;top,treyp,/home/treyp,Strategy Consulting,Trey,Pratt,Trey Pratt,Trey Pratt,treyp@contoso.com,cn=Cesar Garcia,(206) 555-2297,Strategy Consultant
cn=John Kane,inetOrgPerson;person;organizationalPerson;posixAccount;top,johnk,/home/johnk,Sales,John,Kane,John Kane,John Kane,johnk@contoso.com,cn=Jose Saraiva,(214) 555-8332,Salesperson
cn=Parna Khot,inetOrgPerson;person;organizationalPerson;posixAccount;top,parnak,/home/parnak,Strategy Consulting,Parna,Khot,Parna Khot,Parna Khot,parnak@contoso.com,cn=Aaron Painter,(206) 555-8454,Strategy Consultant
cn=Kim Ralls,inetOrgPerson;person;organizationalPerson;posixAccount;top,kimr,/home/kimr,Strategy Consulting,Kim,Ralls,Kim Ralls,Kim Ralls,kimr@contoso.com,cn=David Maman,(206) 555-1443,Strategy Consultant
cn=Jan Kotas,inetOrgPerson;person;organizationalPerson;posixAccount;top,jank,/home/jank,Strategy Consulting,Jan,Kotas,Jan Kotas,Jan Kotas,jank@contoso.com,cn=Brad Sutton,(206) 555-4747,Strategy Consultant
cn=Thomas Hamborg,inetOrgPerson;person;organizationalPerson;posixAccount;top,thomash,/home/thomash,1099 Contractor,Thomas,Hamborg,Thomas Hamborg,Thomas Hamborg,thomash@contoso.com,cn=Brian Groth,(206) 555-4112,Project Manager
cn=Lolan Song,inetOrgPerson;person;organizationalPerson;posixAccount;top,lolans,/home/lolans,Strategy Consulting,Lolan,Song,Lolan Song,Lolan Song,lolans@contoso.com,cn=David Maman,(206) 555-1913,Strategy Consultant
cn=Lars Hansson,inetOrgPerson;person;organizationalPerson;posixAccount;top,larsh,/home/larsh,Accounting,Lars,Hansson,Lars Hansson,Lars Hansson,larsh@contoso.com,cn=Karim Manar,(415) 555-7777,Accounting Manager
cn=Jill Frank,inetOrgPerson;person;organizationalPerson;posixAccount;top,jillf,/home/jillf,Accounting,Jill,Frank,Jill Frank,Jill Frank,jillf@contoso.com,cn=Karim Manar,(425) 555-9559,Accountant
cn=Joel Lachance,inetOrgPerson;person;organizationalPerson;posixAccount;top,joell,/home/joell,Accounting,Joel,Lachance,Joel Lachance,Joel Lachance,joell@contoso.com,cn=Karim Manar,(206) 555-6848,Accountant
cn=John John,inetOrgPerson;person;organizationalPerson;posixAccount;top,johne,/home/johne,Strategy Consulting,John,John,John John,John John,johne@contoso.com,cn=Aaron Painter,(206) 555-5846,Strategy Consultant
cn=Jun Cao,inetOrgPerson;person;organizationalPerson;posixAccount;top,junc,/home/junc,Strategy Consulting,Jun,Cao,Jun Cao,Jun Cao,junc@contoso.com,cn=Cesar Garcia,(206) 555-3449,Strategy Consultant
cn=Tony Wang,inetOrgPerson;person;organizationalPerson;posixAccount;top,tonyw,/home/tonyw,Strategy Consulting,Tony,Wang,Tony Wang,Tony Wang,tonyw@contoso.com,cn=Ellen Adams,(206) 555-4595,Strategy Consultant
cn=Kenneth Cools,inetOrgPerson;person;organizationalPerson;posixAccount;top,kennetc,/home/kennetc,Strategy Consulting,Kenneth,Cools,Kenneth Cools,Kenneth Cools,kennetc@contoso.com,cn=Brad Sutton,(206) 555-4886,Strategy Consultant
cn=Steve Masters,inetOrgPerson;person;organizationalPerson;posixAccount;top,stevem,/home/stevem,Strategy Consulting,Steve,Masters,Steve Masters,Steve Masters,stevem@contoso.com,cn=Cesar Garcia,(206) 555-4557,Strategy Consultant
cn=Lubor Kollar,inetOrgPerson;person;organizationalPerson;posixAccount;top,lubork,/home/lubork,Strategy Consulting,Lubor,Kollar,Lubor Kollar,Lubor Kollar,lubork@contoso.com,cn=Aaron Painter,(206) 555-8223,Strategy Consultant
cn=Michael Ludwig,inetOrgPerson;person;organizationalPerson;posixAccount;top,michael,/home/michael,Strategy Consulting,Michael,Ludwig,Michael Ludwig,Michael Ludwig,michael@contoso.com,cn=Cesar Garcia,(206) 555-6621,Strategy Consultant
cn=Michael Lund,inetOrgPerson;person;organizationalPerson;posixAccount;top,michal1,/home/michal1,Strategy Consulting,Michael,Lund,Michael Lund,Michael Lund,michal1@contoso.com,cn=Ellen Adams,(206) 555-4295,Strategy Consultant
cn=Michael Sullivan,inetOrgPerson;person;organizationalPerson;posixAccount;top,michaes,/home/michaes,Strategy Consulting,Michael,Sullivan,Michael Sullivan,Michael Sullivan,michaes@contoso.com,cn=Brad Sutton,(206) 555-8398,Strategy Consultant
cn=Ray Chow,inetOrgPerson;person;organizationalPerson;posixAccount;top,rayc,/home/rayc,Strategy Consulting,Ray,Chow,Ray Chow,Ray Chow,rayc@contoso.com,cn=David Maman,(206) 555-5295,Strategy Consultant
cn=Diane Glimp,inetOrgPerson;person;organizationalPerson;posixAccount;top,dianeg,/home/dianeg,Content Management Consulting,Diane,Glimp,Diane Glimp,Diane Glimp,dianeg@contoso.com,cn=Stan Orme,(212) 555-3984,Content Management Consultant
cn=Ken Malcolmson,inetOrgPerson;person;organizationalPerson;posixAccount;top,kenm,/home/kenm,Strategy Consulting,Ken,Malcolmson,Ken Malcolmson,Ken Malcolmson,kenm@contoso.com,cn=Ellen Adams,(206) 555-8879,Strategy Consultant
cn=Manueal Machado,inetOrgPerson;person;organizationalPerson;posixAccount;top,manueam,/home/manueam,Project Management,Manueal,Machado,Manueal Machado,Manueal Machado,manueam@contoso.com,cn=Barry Johnson,(206) 555-2246,Senior Project Manager
cn=Luca Dellamore,inetOrgPerson;person;organizationalPerson;posixAccount;top,lucad,/home/lucad,Sales,Luca,Dellamore,Luca Dellamore,Luca Dellamore,lucad@contoso.com,cn=April Stewart,(06) 5555-8461,Salesperson
cn=Ivo Salmre,inetOrgPerson;person;organizationalPerson;posixAccount;top,ivos,/home/ivos,Project Management,Ivo,Salmre,Ivo Salmre,Ivo Salmre,ivos@contoso.com,cn=Andrew Ma,(206) 555-2699,Project Manager
cn=Howard Gonzalez,inetOrgPerson;person;organizationalPerson;posixAccount;top,howardg,/home/howardg,Sales,Howard,Gonzalez,Howard Gonzalez,Howard Gonzalez,howardg@contoso.com,cn=Lene Aalling,(20) 5555-6851,Salesperson
cn=Elizabeth Andersen,inetOrgPerson;person;organizationalPerson;posixAccount;top,elizaba,/home/elizaba,Sales,Elizabeth,Andersen,Elizabeth Andersen,Elizabeth Andersen,elizaba@contoso.com,cn=Arthur Yasinski,(617) 555-7395,Salesperson
cn=Denis Dehenne,inetOrgPerson;person;organizationalPerson;posixAccount;top,denisd,/home/denisd,Project Management,Denis,Dehenne,Denis Dehenne,Denis Dehenne,denisd@contoso.com,cn=Barry Johnson,(206) 555-6492,Project Manager
cn=David Wright,inetOrgPerson;person;organizationalPerson;posixAccount;top,davidw,/home/davidw,Sales,David,Wright,David Wright,David Wright,davidw@contoso.com,cn=David Simpson,(404) 555-9264,Salesperson
cn=Chris Barry,inetOrgPerson;person;organizationalPerson;posixAccount;top,chrisb,/home/chrisb,Project Management,Chris,Barry,Chris Barry,Chris Barry,chrisb@contoso.com,cn=Mike Nash,(206) 555-9267,Project Manager
cn=Ayla Kol,inetOrgPerson;person;organizationalPerson;posixAccount;top,aylak,/home/aylak,Project Management,Ayla,Kol,Ayla Kol,Ayla Kol,aylak@contoso.com,cn=Scott Bishop,(206) 555-3448,Project Manager
cn=Alisa Lawyer,inetOrgPerson;person;organizationalPerson;posixAccount;top,alisal,/home/alisal,Project Management,Alisa,Lawyer,Alisa Lawyer,Alisa Lawyer,alisal@contoso.com,cn=Scott Bishop,(206) 555-4738,Project Manager
cn=Simon Rapier,inetOrgPerson;person;organizationalPerson;posixAccount;top,simonr,/home/simonr,Project Management,Simon,Rapier,Simon Rapier,Simon Rapier,simonr@contoso.com,cn=Scott Bishop,(206) 555-9848,Senior Project Manager
cn=Rob Barker,inetOrgPerson;person;organizationalPerson;posixAccount;top,robb,/home/robb,Project Management,Rob,Barker,Rob Barker,Rob Barker,robb@contoso.com,cn=Chris Norred,(206) 555-2474,Project Manager
cn=Hazem Abolrous,inetOrgPerson;person;organizationalPerson;posixAccount;top,hazema,/home/hazema,Sales,Hazem,Abolrous,Hazem Abolrous,Hazem Abolrous,hazema@contoso.com,cn=Lene Aalling,(707) 555-3823,Salesperson
cn=Ned Friend,inetOrgPerson;person;organizationalPerson;posixAccount;top,nedf,/home/nedf,Project Management,Ned,Friend,Ned Friend,Ned Friend,nedf@contoso.com,cn=Chris Norred,(206) 555-8382,Project Manager
cn=Richard Tupy,inetOrgPerson;person;organizationalPerson;posixAccount;top,richart,/home/richart,Project Management,Richard,Tupy,Richard Tupy,Richard Tupy,richart@contoso.com,cn=Andrew Ma,(206) 555-1694,Project Manager
cn=Don Funk,inetOrgPerson;person;organizationalPerson;posixAccount;top,donf,/home/donf,Project Management,Don,Funk,Don Funk,Don Funk,donf@contoso.com,cn=Chris Norred,(206) 555-6561,Project Manager
cn=Dave Natsuhara,inetOrgPerson;person;organizationalPerson;posixAccount;top,daven,/home/daven,Project Management,Dave,Natsuhara,Dave Natsuhara,Dave Natsuhara,daven@contoso.com,cn=Chris Norred,(206) 555-9299,Project Manager
cn=Christian Rytt,inetOrgPerson;person;organizationalPerson;posixAccount;top,christr,/home/christr,Project Management,Christian,Rytt,Christian Rytt,Christian Rytt,christr@contoso.com,cn=Chris Norred,(206) 555-5488,Project Manager
cn=Ted Bremer,inetOrgPerson;person;organizationalPerson;posixAccount;top,tedb,/home/tedb,Project Management,Ted,Bremer,Ted Bremer,Ted Bremer,tedb@contoso.com,cn=Chris Norred,(206) 555-3874,Business Process Manager
cn=Sean Purcell,inetOrgPerson;person;organizationalPerson;posixAccount;top,seanp,/home/seanp,Project Management,Sean,Purcell,Sean Purcell,Sean Purcell,seanp@contoso.com,cn=Chris Norred,(206) 555-6953,Business Process Manager
cn=Ray Mohrman,inetOrgPerson;person;organizationalPerson;posixAccount;top,raym,/home/raym,Project Management,Ray,Mohrman,Ray Mohrman,Ray Mohrman,raym@contoso.com,cn=Barry Johnson,(206) 555-1471,Senior Project Manager
cn=Mike Tiano,inetOrgPerson;person;organizationalPerson;posixAccount;top,miket,/home/miket,Project Management,Mike,Tiano,Mike Tiano,Mike Tiano,miket@contoso.com,cn=Chris Norred,(206) 555-6552,Business Process Manager
cn=Margaret Au,inetOrgPerson;person;organizationalPerson;posixAccount;top,margara,/home/margara,Project Management,Margaret,Au,Margaret Au,Margaret Au,margara@contoso.com,cn=Chris Norred,(206) 555-2918,Business Process Manager
cn=Jesper Aaberg,inetOrgPerson;person;organizationalPerson;posixAccount;top,jespera,/home/jespera,Project Management,Jesper,Aaberg,Jesper Aaberg,Jesper Aaberg,jespera@contoso.com,cn=Chris Norred,(206) 555-1783,Project Manager
cn=Danni Ortman,inetOrgPerson;person;organizationalPerson;posixAccount;top,dannio,/home/dannio,Project Management,Danni,Ortman,Danni Ortman,Danni Ortman,dannio@contoso.com,cn=Andrew Ma,(206) 555-6667,Senior Project Manager
cn=Andy Jacobs,inetOrgPerson;person;organizationalPerson;posixAccount;top,andyj,/home/andyj,Project Management,Andy,Jacobs,Andy Jacobs,Andy Jacobs,andyj@contoso.com,cn=Scott Bishop,(206) 555-4262,Senior Project Manager
cn=Mchiel Wories,inetOrgPerson;person;organizationalPerson;posixAccount;top,mchielw,/home/mchielw,Operations,Mchiel,Wories,Mchiel Wories,Mchiel Wories,mchielw@contoso.com,cn=Keith Dishmo,(206) 555-4539,Procurement Manager
cn=Nuria Gonzalez,inetOrgPerson;person;organizationalPerson;posixAccount;top,nuriag,/home/nuriag,Project Management,Nuria,Gonzalez,Nuria Gonzalez,Nuria Gonzalez,nuriag@contoso.com,cn=Mike Nash,(206) 555-8185,Senior Project Manager
cn=Ty Carlson,inetOrgPerson;person;organizationalPerson;posixAccount;top,tyc,/home/tyc,Sales Engagement Management,Ty,Carlson,Ty Carlson,Ty Carlson,tyc@contoso.com,cn=Lene Aalling,(701) 555-4446,Salesperson
cn=Cassie Hicks,inetOrgPerson;person;organizationalPerson;posixAccount;top,cassieh,/home/cassieh,Senior Management,Cassie,Hicks,Cassie Hicks,Cassie Hicks,cassieh@contoso.com,cn=Adam Barr,(425) 555-0129,Director of Client Services
cn=Sean Chai,inetOrgPerson;person;organizationalPerson;posixAccount;top,seanc,/home/seanc,Senior Management,Sean,Chai,Sean Chai,Sean Chai,seanc@contoso.com,cn=Molly Clark,(425) 555-0193,Director of Affiliate Marketing and Partnerships
cn=Todd Rowe,inetOrgPerson;person;organizationalPerson;posixAccount;top,toddr,/home/toddr,Senior Management,Todd,Rowe,Todd Rowe,Todd Rowe,toddr@contoso.com,cn=Diane Prescott,(425) 555-0124,Sr. Media Planner
cn=Tai Lee,inetOrgPerson;person;organizationalPerson;posixAccount;top,tail,/home/tail,CVP of IT,Tai,Lee,Tai Lee,Tai Lee,tail@contoso.com,cn=Jeff Hay,(425) 555-0131,President of Services
cn=Greg Winston,inetOrgPerson;person;organizationalPerson;posixAccount;top,gregw,/home/gregw,Senior Management,Greg,Winston,Greg Winston,Greg Winston,gregw@contoso.com,cn=Jeff Hay,(425) 555-0140,President of Management
cn=Sanjay Shah,inetOrgPerson;person;organizationalPerson;posixAccount;top,sanjays,/home/sanjays,Executive,Sanjay,Shah,Sanjay Shah,Sanjay Shah,sanjays@contoso.com,cn=Dan Jump,(425) 555-0107,Chief of Technical Strategy
cn=Toni Poe,inetOrgPerson;person;organizationalPerson;posixAccount;top,tonip,/home/tonip,Executive,Toni,Poe,Toni Poe,Toni Poe,tonip@contoso.com,cn=Dan Jump,(425) 555-0196,Chief of Partnerships and Strategy
cn=Jim Daly,inetOrgPerson;person;organizationalPerson;posixAccount;top,jimd,/home/jimd,Executive,Jim,Daly,Jim Daly,Jim Daly,jimd@contoso.com,cn=Dan Jump,(425) 555-0116,CFO
cn=Tom Youtsey,inetOrgPerson;person;organizationalPerson;posixAccount;top,tomy,/home/tomy,Sales Engagement Management,Tom,Youtsey,Tom Youtsey,Tom Youtsey,tomy@contoso.com,cn=David Simpson,(206) 555-4331,Salesperson
cn=Kerim Hanif,inetOrgPerson;person;organizationalPerson;posixAccount;top,kerimh,/home/kerimh,Sales Engagement Management,Kerim,Hanif,Kerim Hanif,Kerim Hanif,kerimh@contoso.com,cn=David Simpson,(206) 555-5661,Salesperson
cn=Jamie Reding,inetOrgPerson;person;organizationalPerson;posixAccount;top,jamier,/home/jamier,Sales Engagement Management,Jamie,Reding,Jamie Reding,Jamie Reding,jamier@contoso.com,cn=David Simpson,(206) 555-2363,Salesperson
cn=Ye Xu,inetOrgPerson;person;organizationalPerson;posixAccount;top,yex,/home/yex,Sales Engagement Management,Ye,Xu,Ye Xu,Ye Xu,yex@contoso.com,cn=Arthur Yasinski,(214) 555-7757,Salesperson
cn=Marko Zajc,inetOrgPerson;person;organizationalPerson;posixAccount;top,markoz,/home/markoz,Sales,Marko,Zajc,Marko Zajc,Marko Zajc,markoz@contoso.com,cn=April Stewart,(09) 5555-3784,Salesperson
cn=Fabrice Canel,inetOrgPerson;person;organizationalPerson;posixAccount;top,fabricc,/home/fabricc,Sales Engagement Management,Fabrice,Canel,Fabrice Canel,Fabrice Canel,fabricc@contoso.com,cn=Arthur Yasinski,(214) 555-8815,Salesperson
cn=Pavel Simsa,inetOrgPerson;person;organizationalPerson;posixAccount;top,pavels,/home/pavels,Sales,Pavel,Simsa,Pavel Simsa,Pavel Simsa,pavels@contoso.com,cn=David Simpson,(06) 5555-1284,Salesperson
cn=Vernette Price,inetOrgPerson;person;organizationalPerson;posixAccount;top,vernettp,/home/vernettp,Sales Engagement Management,Vernette,Price,Vernette Price,Vernette Price,vernettp@contoso.com,cn=Lene Aalling,(701) 555-6828,Salesperson
cn=Nate Sun,inetOrgPerson;person;organizationalPerson;posixAccount;top,nates,/home/nates,Sales Engagement Management,Nate,Sun,Nate Sun,Nate Sun,nates@contoso.com,cn=Lene Aalling,(701) 555-7818,Salesperson
cn=Tina Makovec,inetOrgPerson;person;organizationalPerson;posixAccount;top,tinam,/home/tinam,Sales Engagement Management,Tina,Makovec,Tina Makovec,Tina Makovec,tinam@contoso.com,cn=April Stewart,(804) 555-2465,Salesperson
cn=Neil Orint,inetOrgPerson;person;organizationalPerson;posixAccount;top,neilo,/home/neilo,Sales Engagement Management,Neil,Orint,Neil Orint,Neil Orint,neilo@contoso.com,cn=April Stewart,(804) 555-5958,Salesperson
cn=Luka Abrus,inetOrgPerson;person;organizationalPerson;posixAccount;top,lukaa,/home/lukaa,Sales Engagement Management,Luka,Abrus,Luka Abrus,Luka Abrus,lukaa@contoso.com,cn=April Stewart,(804) 555-3648,Salesperson
cn=Euan Garden,inetOrgPerson;person;organizationalPerson;posixAccount;top,euang,/home/euang,Sales Engagement Management,Euan,Garden,Euan Garden,Euan Garden,euang@contoso.com,cn=April Stewart,(804) 555-3383,Salesperson
cn=Eran Harel,inetOrgPerson;person;organizationalPerson;posixAccount;top,eranh,/home/eranh,Sales,Eran,Harel,Eran Harel,Eran Harel,eranh@contoso.com,cn=Jose Saraiva,(213) 555-1265,Salesperson
cn=Michael Ovesen,inetOrgPerson;person;organizationalPerson;posixAccount;top,michaeo,/home/michaeo,Sales,Michael,Ovesen,Michael Ovesen,Michael Ovesen,michaeo@contoso.com,cn=Jose Saraiva,(201) 555-5625,Salesperson
cn=Kim Abercrombie,inetOrgPerson;person;organizationalPerson;posixAccount;top,kima,/home/kima,Sales,Kim,Abercrombie,Kim Abercrombie,Kim Abercrombie,kima@contoso.com,cn=Jose Saraiva,(410) 555-3839,Salesperson
cn=Rob Young,inetOrgPerson;person;organizationalPerson;posixAccount;top,roby,/home/roby,Operations,Rob,Young,Rob Young,Rob Young,roby@contoso.com,cn=Arturo Lopez,(206) 555-1739,IT Manager
cn=Terry Earls,inetOrgPerson;person;organizationalPerson;posixAccount;top,terrye,/home/terrye,Project Management,Terry,Earls,Terry Earls,Terry Earls,terrye@contoso.com,cn=Mike Nash,(206) 555-3164,Project Manager
cn=Michael Mainer,inetOrgPerson;person;organizationalPerson;posixAccount;top,michaem,/home/michaem,Operations,Michael,Mainer,Michael Mainer,Michael Mainer,michaem@contoso.com,cn=Erika Cheley,(206) 555-4542,Manager
cn=Sven Buck,inetOrgPerson;person;organizationalPerson;posixAccount;top,svenb,/home/svenb,Sales Engagement Management,Sven,Buck,Sven Buck,Sven Buck,svenb@contoso.com,cn=Arthur Yasinski,(214) 555-4151,Salesperson
cn=Eric Gruber,inetOrgPerson;person;organizationalPerson;posixAccount;top,ericg,/home/ericg,Sales,Eric,Gruber,Eric Gruber,Eric Gruber,ericg@contoso.com,cn=Lene Aalling,(206) 555-4629,Salesperson
cn=Jelle Visser,inetOrgPerson;person;organizationalPerson;posixAccount;top,jellev,/home/jellev,Operations,Jelle,Visser,Jelle Visser,Jelle Visser,jellev@contoso.com,cn=Keith Dishmo,(206) 555-4932,Procurement Manager
cn=Erik Gubbels,inetOrgPerson;person;organizationalPerson;posixAccount;top,erikg,/home/erikg,Sales,Erik,Gubbels,Erik Gubbels,Erik Gubbels,erikg@contoso.com,cn=April Stewart,(425) 555-9296,Salesperson
cn=Dominik Paiha,inetOrgPerson;person;organizationalPerson;posixAccount;top,dominip,/home/dominip,Sales,Dominik,Paiha,Dominik Paiha,Dominik Paiha,dominip@contoso.com,cn=Jose Saraiva,(212) 555-2538,Salesperson
cn=Dan Hough,inetOrgPerson;person;organizationalPerson;posixAccount;top,danh,/home/danh,Sales,Dan,Hough,Dan Hough,Dan Hough,danh@contoso.com,cn=Arthur Yasinski,(607) 555-4568,Salesperson
cn=Tina Lassila,inetOrgPerson;person;organizationalPerson;posixAccount;top,tinal,/home/tinal,Sales,Tina,Lassila,Tina Lassila,Tina Lassila,tinal@contoso.com,cn=Arthur Yasinski,(607) 555-6337,Salesperson
cn=Nuno Farinha,inetOrgPerson;person;organizationalPerson;posixAccount;top,nunof,/home/nunof,Sales,Nuno,Farinha,Nuno Farinha,Nuno Farinha,nunof@contoso.com,cn=David Simpson,(214) 555-1812,Salesperson
cn=Maru Subrmani,inetOrgPerson;person;organizationalPerson;posixAccount;top,marus,/home/marus,Sales,Maru,Subrmani,Maru Subrmani,Maru Subrmani,marus@contoso.com,cn=April Stewart,(850) 555-5277,Salesperson
cn=Marc Faerber,inetOrgPerson;person;organizationalPerson;posixAccount;top,marcf,/home/marcf,Sales,Marc,Faerber,Marc Faerber,Marc Faerber,marcf@contoso.com,cn=David Simpson,(213) 555-3269,Salesperson
cn=Kari Furse,inetOrgPerson;person;organizationalPerson;posixAccount;top,karif,/home/karif,Sales,Kari,Furse,Kari Furse,Kari Furse,karif@contoso.com,cn=Jose Saraiva,(541) 555-2668,Salesperson
cn=Karen Berg,inetOrgPerson;person;organizationalPerson;posixAccount;top,karenb,/home/karenb,Senior Management,Karen,Berg,Karen Berg,Karen Berg,karenb@contoso.com,cn=Julian Isla,(425) 555-0174,Sr. Account Manager
cn=Ian Tien,inetOrgPerson;person;organizationalPerson;posixAccount;top,iant,/home/iant,Human Resources,Ian,Tien,Ian Tien,Ian Tien,iant@contoso.com,cn=Amy Alberts,(206) 555-1437,HR Specialist
cn=Scott Gode,inetOrgPerson;person;organizationalPerson;posixAccount;top,scottg,/home/scottg,Sales,Scott,Gode,Scott Gode,Scott Gode,scottg@contoso.com,cn=David Simpson,(201) 555-8474,Salesperson
cn=Gina Boyer,inetOrgPerson;person;organizationalPerson;posixAccount;top,ginab,/home/ginab,Sales,Gina,Boyer,Gina Boyer,Gina Boyer,ginab@contoso.com,cn=Arthur Yasinski,(509) 555-3766,Salesperson
cn=Annelie Zubar,inetOrgPerson;person;organizationalPerson;posixAccount;top,anneliz,/home/anneliz,Sales,Annelie,Zubar,Annelie Zubar,Annelie Zubar,anneliz@contoso.com,cn=Jose Saraiva,2555-4845,Salesperson
cn=David Bossard,inetOrgPerson;person;organizationalPerson;posixAccount;top,davidb,/home/davidb,Sales,David,Bossard,David Bossard,David Bossard,davidb@contoso.com,cn=April Stewart,(206) 555-1422,Salesperson
cn=Alicia Thomber,inetOrgPerson;person;organizationalPerson;posixAccount;top,aliciat,/home/aliciat,Sales,Alicia,Thomber,Alicia Thomber,Alicia Thomber,aliciat@contoso.com,cn=David Simpson,(714) 555-4825,Salesperson
cn=Marcelo Truffat,inetOrgPerson;person;organizationalPerson;posixAccount;top,marcelt,/home/marcelt,Sales,Marcelo,Truffat,Marcelo Truffat,Marcelo Truffat,marcelt@contoso.com,cn=Jose Saraiva,(206) 555-1785,Salesperson
cn=Tony Madigan,inetOrgPerson;person;organizationalPerson;posixAccount;top,tonym,/home/tonym,Engineering Operations,Tony,Madigan,Tony Madigan,Tony Madigan,tonym@contoso.com,cn=Carol Troup,(206) 555-6941,Senior Engineer
cn=Sunil Koduri,inetOrgPerson;person;organizationalPerson;posixAccount;top,sunilk,/home/sunilk,Engineering Operations,Sunil,Koduri,Sunil Koduri,Sunil Koduri,sunilk@contoso.com,cn=Carol Troup,(206) 555-5651,Senior Engineer
cn=Simon Pearson,inetOrgPerson;person;organizationalPerson;posixAccount;top,simonp,/home/simonp,Engineering Operations,Simon,Pearson,Simon Pearson,Simon Pearson,simonp@contoso.com,cn=Carol Troup,(206) 555-2318,Senior Engineer
cn=Paul Duffy,inetOrgPerson;person;organizationalPerson;posixAccount;top,pauld,/home/pauld,Engineering Operations,Paul,Duffy,Paul Duffy,Paul Duffy,pauld@contoso.com,cn=Carol Troup,(206) 555-9351,Senior Engineer
cn=Kate Taneyhill,inetOrgPerson;person;organizationalPerson;posixAccount;top,katet,/home/katet,Engineering Operations,Kate,Taneyhill,Kate Taneyhill,Kate Taneyhill,katet@contoso.com,cn=Carol Troup,(206) 555-2732,Senior Engineer
cn=Chris Gray,inetOrgPerson;person;organizationalPerson;posixAccount;top,chrisg,/home/chrisg,Engineering Operations,Chris,Gray,Chris Gray,Chris Gray,chrisg@contoso.com,cn=Carol Troup,(206) 555-9244,Senior Engineer
cn=Stephen Deming,inetOrgPerson;person;organizationalPerson;posixAccount;top,stephed,/home/stephed,Engineering Operations,Stephen,Deming,Stephen Deming,Stephen Deming,stephed@contoso.com,cn=Carol Troup,(206) 555-1211,Engineer
